Tour Code,Tour Name,Tour Duration,Destinations,View Details,Image URL,Full Details Page URL
TN-01,Kashi Darshan,01N | 02D,Varanasi Temple Tour • Ganga Aarti,View Details,https://i.postimg.cc/Qtm7TBDv/ratneshwar-mahadev-kashi-karvat-leaning-temple-varanasi.jpg,https://tournavigators.com/list-of-all-category-tour
TN-02,Ram Janmabhoomi Darshan,01N | 02D,Ayodhya Temple Tour,View Details,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,https://tournavigators.com/list-of-all-category-tour
TN-03,Kashi Yatra,02N | 03D,Varanasi Temple Tour • Sarnath • Ganga Aarti,View Details,https://i.postimg.cc/mrjHJcnV/c7.jpg,https://tournavigators.com/list-of-all-category-tour
TN-04,Divine Ayodhya Yatra,02N | 03D,Ayodhya Temple Tour • Sarayu Aarti,View Details,https://i.postimg.cc/658fZhPK/Untitled.png,https://tournavigators.com/list-of-all-category-tour
TN-05,Spiritual Varanasi (Kashi),03N | 04D,Varanasi Temple Tour • Ganga Aarti • Ramnagar • Sarnath • Sarvaved Mahamandir • Markandey Mahadev,View Details,https://i.postimg.cc/j5xwtsfc/ff.jpg,https://tournavigators.com/list-of-all-category-tour
TN-06,Divine Ayodhya & Lucknow,03N | 04D,Lucknow • Ayodhya Temple Tour • Sarayu Aarti,View Details,https://i.postimg.cc/0QJVpRZp/o-INDIA-facebook.jpg,https://tournavigators.com/list-of-all-category-tour
TN-07,Krishna Janmabhoomi & Agra,03N | 04D,Agra • Mathura • Vrindavan,View Details,https://i.postimg.cc/Qtm7TBDv/ratneshwar-mahadev-kashi-karvat-leaning-temple-varanasi.jpg,https://tournavigators.com/list-of-all-category-tour
TN-08,Divine Ayodhya & Prayagraj,03N | 04D,Ayodhya Temple Tour • Sarayu Aarti • Prayagraj,View Details,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,https://tournavigators.com/list-of-all-category-tour
TN-09,"Ayodhya, Triveni & Kashi Yatra",03N | 04D,Ayodhya • Prayagraj • Varanasi (Kashi),View Details,https://i.postimg.cc/mrjHJcnV/c7.jpg,https://tournavigators.com/list-of-all-category-tour
TN-10,Kashi & Ayodhya Yatra,03N | 04D,Varanasi (Kashi) • Ayodhya,View Details,https://i.postimg.cc/658fZhPK/Untitled.png,https://tournavigators.com/list-of-all-category-tour
TN-11,Pind Daan & Tarpan Yatra,03N | 04D,Varanasi (Kashi) • Prayagraj (Triveni Sangam),View Details,https://i.postimg.cc/j5xwtsfc/ff.jpg,https://tournavigators.com/list-of-all-category-tour
TN-12,Spiritual Triangle Tour,04N | 05D,Varanasi (Kashi) • Prayagraj • Ayodhya,View Details,https://i.postimg.cc/0QJVpRZp/o-INDIA-facebook.jpg,https://tournavigators.com/list-of-all-category-tour
TN-13,Spiritual Varanasi (Kashi) & Vindhyavasini Shakti Peeth,04N | 05D,Varanasi Temple Tour • Ganga Aarti • Ramnagar • Sarnath • Sarvaved Mahamandir • Markandey Mahadev • Vindhyachal • Ashta Bhuja • Kali Khoh,View Details,https://i.postimg.cc/Qtm7TBDv/ratneshwar-mahadev-kashi-karvat-leaning-temple-varanasi.jpg,https://tournavigators.com/list-of-all-category-tour
TN-14,Spiritual Triangle & Lucknow**,04N | 05D,Lucknow • Ayodhya • Prayagraj • Varanasi (Kashi),View Details,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,https://tournavigators.com/list-of-all-category-tour
TN-15,Triveni Yatra,04N | 05D,Varanasi (Kashi) • Prayagraj • Chitrakoot,View Details,https://i.postimg.cc/mrjHJcnV/c7.jpg,https://tournavigators.com/list-of-all-category-tour
TN-16,"Pitrupaksha (Moksha) Yatra (Shraddh, Tarpan & Pind Daan)",04N | 05D,Varanasi (Kashi) • Gaya (Bodhgaya) • Prayagraj,View Details,https://i.postimg.cc/658fZhPK/Untitled.png,https://tournavigators.com/list-of-all-category-tour
TN-17,Krishna & Brajbhoomi Trails,04N | 05D,Mathura • Vrindavan • Govardhan • Kusum Sarovar • Gokul • Agra,View Details,https://i.postimg.cc/j5xwtsfc/ff.jpg,https://tournavigators.com/list-of-all-category-tour
TN-18,Spiritual Triangle with Lucknow,05N | 06D,Lucknow • Ayodhya • Prayagraj • Varanasi,View Details,https://i.postimg.cc/0QJVpRZp/o-INDIA-facebook.jpg,https://tournavigators.com/list-of-all-category-tour
TN-19,Agra & Brajbhoomi Circuit,05N | 06D,Agra • Gokul • Mathura • Vrindavan • Nandgaon • Barsana • Govardhan • Kusum Sarovar,View Details,https://i.postimg.cc/Qtm7TBDv/ratneshwar-mahadev-kashi-karvat-leaning-temple-varanasi.jpg,https://tournavigators.com/list-of-all-category-tour
TN-20,Spiritual Triangle & Chitrakoot,05N | 06D,Varanasi (Kashi) • Prayagraj • Chitrakoot • Ayodhya,View Details,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,https://tournavigators.com/list-of-all-category-tour
TN-21,Spiritual Triangle & Gaya,06N | 07D,Varanasi (Kashi) • Gaya (Bodhgaya) • Prayagraj • Ayodhya,View Details,https://i.postimg.cc/mrjHJcnV/c7.jpg,https://tournavigators.com/list-of-all-category-tour
TN-22,Ramayan Trails of U.P.,06N | 07D,Ayodhya • Nandigram • Sultanpur • Sitamarhi • Prayagraj • Chitrakoot • Shringverpur • Bithoor • Lucknow,View Details,https://i.postimg.cc/658fZhPK/Untitled.png,https://tournavigators.com/list-of-all-category-tour
TN-23,Braj (Brij) Chaurasi (84) Kosh Yatra,06N | 07D,Agra • Fatehpur Sikri • Raman Reti • Gokul • Mathura • Vrindavan • Belvan • Bhandirvan • Kokilavan • Nandgaon • Barsana • Kusum Sarovar • Govardhan • Gokul • Raman Reti,View Details,https://i.postimg.cc/j5xwtsfc/ff.jpg,https://tournavigators.com/list-of-all-category-tour
TN-24,Spiritual Triangle  with Gaya & Chitrakoot,07N | 08D,Varanasi (Kashi) • Gaya (Bodhgaya) • Prayagraj • Chitrakoot • Ayodhya,View Details,https://i.postimg.cc/0QJVpRZp/o-INDIA-facebook.jpg,https://tournavigators.com/list-of-all-category-tour
TN-25,Jain Trails of U.P.,07N | 08D,Varanasi • Kaushambi • Prayagraj • Ayodhya • Ratnapuri • Sravasti • Deoria • Gorakhpur,View Details,https://i.postimg.cc/Qtm7TBDv/ratneshwar-mahadev-kashi-karvat-leaning-temple-varanasi.jpg,https://tournavigators.com/list-of-all-category-tour
TN-26,Spiritual U.P. Darshan,07N | 08D,Lucknow • Naimisharanya • Lucknow • Ayodhya • Chitrakoot • Prayagraj • Varanasi,View Details,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,https://tournavigators.com/list-of-all-category-tour
TN-27,Char Dham of U.P.,07N | 08D,Varanasi (Kashi) • Prayagraj • Ayodhya • Agra • Mathura • Vrindavan,View Details,https://i.postimg.cc/mrjHJcnV/c7.jpg,https://tournavigators.com/list-of-all-category-tour
TN-28,Spiritual Triangle with Gaya & Lucknow,08N | 09D,Varanasi (Kashi) • Gaya (Bodhgaya) • Prayagraj • Ayodhya • Naimisharanya • Lucknow,View Details,https://i.postimg.cc/658fZhPK/Untitled.png,https://tournavigators.com/list-of-all-category-tour
TN-29,Spiritual Darshan of UP & Bihar,09N | 10D,Varanasi (Kashi) • Gaya (Bodhgaya) • Prayagraj • Chitrakoot • Ayodhya • Lucknow • Naimisharanya • Lucknow,View Details,https://i.postimg.cc/j5xwtsfc/ff.jpg,https://tournavigators.com/list-of-all-category-tour
TN-30,UP Spiritual & Heritage Tour,10N | 11D,Varanasi • Prayagraj • Chitrakoot • Ayodhya • Lucknow • Naimisharanya • Agra • Mathura • Vrindavan,View Details,https://i.postimg.cc/0QJVpRZp/o-INDIA-facebook.jpg,https://tournavigators.com/list-of-all-category-tour
TN-31,The Footprints of Buddha – U.P. & Bihar,07N | 08D,Varanasi • Sarnath • Bodhgaya • Rajgir • Nalanda • Patna • Vaishali • Kushinagar • Shravasti • Lucknow,View Details,https://i.postimg.cc/Qtm7TBDv/ratneshwar-mahadev-kashi-karvat-leaning-temple-varanasi.jpg,https://tournavigators.com/list-of-all-category-tour
TN-32,Buddhist Heritage Circuit – India & Nepal,10N | 11D,Varanasi • Sarnath • Bodhgaya • Rajgir • Nalanda • Patna • Vaishali • Kushinagar • Lumbini • Kapilvastu • Sravasti • Lucknow • Sankisa (Sankasia) • Agra,View Details,https://i.postimg.cc/dVnD6bpT/Ram-Janambhoomi-Temple-Ayodhya.jpg,https://tournavigators.com/list-of-all-category-tour